,year,hood_id,neighborhood,district,type,frequency
0,2012,10111,Tiergarten Süd,Mitte,robbery,556
1,2012,10112,Regierungsviertel,Mitte,robbery,709
2,2012,10113,Alexanderplatz,Mitte,robbery,513
3,2012,10114,Brunnenstraße Süd,Mitte,robbery,203
4,2012,10221,Moabit West,Mitte,robbery,310
5,2012,10222,Moabit Ost,Mitte,robbery,256
6,2012,10331,Osloer Straße,Mitte,robbery,342
7,2012,10332,Brunnenstraße Nord,Mitte,robbery,411
8,2012,10441,Parkviertel,Mitte,robbery,263
9,2012,10442,Wedding Zentrum,Mitte,robbery,411
10,2012,20101,Südliche Friedrichstadt,FriedrichshainKreuzberg,robbery,354
11,2012,20202,Tempelhofer Vorstadt,FriedrichshainKreuzberg,robbery,295
12,2012,20303,nördliche Luisenstadt,FriedrichshainKreuzberg,robbery,501
13,2012,20304,südliche Luisenstadt,FriedrichshainKreuzberg,robbery,418
14,2012,20405,KarlMarxAlleeNord,FriedrichshainKreuzberg,robbery,261
15,2012,20407,KarlMarxAlleeSüd,FriedrichshainKreuzberg,robbery,375
16,2012,20506,Frankfurter Allee Nord,FriedrichshainKreuzberg,robbery,125
17,2012,20508,Frankfurter Allee Süd FK,FriedrichshainKreuzberg,robbery,303
18,2012,30101,Buch,Pankow,robbery,123
19,2012,30202,Blankenfelde/Niederschönhausen,Pankow,robbery,47
20,2012,30203,Buchholz,Pankow,robbery,54
21,2012,30304,Karow,Pankow,robbery,16
22,2012,30307,Blankenburg/Heinersdorf/Märchenland,Pankow,robbery,50
23,2012,30405,Schönholz/Wilhelmsruh/Rosenthal,Pankow,robbery,134
24,2012,30406,Pankow Zentrum,Pankow,robbery,102
25,2012,30408,Pankow Süd,Pankow,robbery,66
26,2012,30509,Weißensee,Pankow,robbery,103
27,2012,30510,Weißensee Ost,Pankow,robbery,133
28,2012,30611,Prenzlauer Berg Nordwest,Pankow,robbery,339
29,2012,30612,Prenzlauer Berg Nord,Pankow,robbery,116
30,2012,30613,Helmholtzplatz,Pankow,robbery,108
31,2012,30614,Prenzlauer Berg Ost,Pankow,robbery,247
32,2012,30715,Prenzlauer Berg Südwest,Pankow,robbery,74
33,2012,30716,Prenzlauer Berg Süd,Pankow,robbery,52
34,2012,40101,CharlottenburgNord,CharlottenburgWilmersdorf,robbery,227
35,2012,40202,Heerstrasse,CharlottenburgWilmersdorf,robbery,168
36,2012,40203,Westend,CharlottenburgWilmersdorf,robbery,153
37,2012,40304,Schloß Charlottenburg,CharlottenburgWilmersdorf,robbery,177
38,2012,40305,Mierendorffplatz,CharlottenburgWilmersdorf,robbery,225
39,2012,40306,OttoSuhrAllee,CharlottenburgWilmersdorf,robbery,208
40,2012,40307,Neue Kantstraße,CharlottenburgWilmersdorf,robbery,188
41,2012,40308,Kantstraße,CharlottenburgWilmersdorf,robbery,318
42,2012,40309,Kurfürstendamm,CharlottenburgWilmersdorf,robbery,927
43,2012,40310,Halensee,CharlottenburgWilmersdorf,robbery,134
44,2012,40411,Grunewald,CharlottenburgWilmersdorf,robbery,56
45,2012,40412,Schmargendorf,CharlottenburgWilmersdorf,robbery,36
46,2012,40413,Wiesbadener Straße,CharlottenburgWilmersdorf,robbery,67
47,2012,40514,Düsseldorfer Straße,CharlottenburgWilmersdorf,robbery,140
48,2012,40515,Barstraße,CharlottenburgWilmersdorf,robbery,141
49,2012,40516,Volkspark Wilmersdorf,CharlottenburgWilmersdorf,robbery,198
50,2012,40617,Forst Grunewald,CharlottenburgWilmersdorf,robbery,1333
51,2012,50101,Hakenfelde,Spandau,robbery,75
52,2012,50102,Falkenhagener Feld,Spandau,robbery,103
53,2012,50103,Spandau Mitte,Spandau,robbery,329
54,2012,50204,Brunsbütteler Damm,Spandau,robbery,60
55,2012,50205,Heerstraße Nord,Spandau,robbery,154
56,2012,50206,Wilhelmstadt,Spandau,robbery,201
57,2012,50307,Haselhorst,Spandau,robbery,261
58,2012,50308,Siemensstadt,Spandau,robbery,249
59,2012,50409,Gatow/Kladow,Spandau,robbery,28
60,2012,60101,Schloßstr.,SteglitzZehlendorf,robbery,285
61,2012,60102,Albrechtstr.,SteglitzZehlendorf,robbery,111
62,2012,60203,Lankwitz,SteglitzZehlendorf,robbery,87
63,2012,60204,Ostpreußendamm,SteglitzZehlendorf,robbery,49
64,2012,60305,Teltower Damm,SteglitzZehlendorf,robbery,70
65,2012,60306,Drakestr.,SteglitzZehlendorf,robbery,39
66,2012,60407,Zehlendorf Südwest,SteglitzZehlendorf,robbery,106
67,2012,60408,Zehlendorf Nord,SteglitzZehlendorf,robbery,106
68,2012,70101,SchönebergNord,TempelhofSchöneberg,robbery,418
69,2012,70202,SchönebergSüd,TempelhofSchöneberg,robbery,168
70,2012,70303,Friedenau,TempelhofSchöneberg,robbery,100
71,2012,70404,Tempelhof,TempelhofSchöneberg,robbery,170
72,2012,70505,Mariendorf,TempelhofSchöneberg,robbery,114
73,2012,70606,Marienfelde,TempelhofSchöneberg,robbery,82
74,2012,70707,Lichtenrade,TempelhofSchöneberg,robbery,77
75,2012,80101,Schillerpromenade,Neukölln,robbery,546
76,2012,80102,Neuköllner Mitte/Zentrum,Neukölln,robbery,374
77,2012,80103,Reuterstraße,Neukölln,robbery,278
78,2012,80104,Rixdorf,Neukölln,robbery,291
79,2012,80105,Köllnische Heide,Neukölln,robbery,176
80,2012,80206,Britz,Neukölln,robbery,195
81,2012,80207,Buckow,Neukölln,robbery,94
82,2012,80308,Gropiusstadt,Neukölln,robbery,144
83,2012,80409,Buckow Nord,Neukölln,robbery,151
84,2012,80410,Rudow,Neukölln,robbery,95
85,2012,90101,AltTreptow,TreptowKöpenick,robbery,412
86,2012,90102,Plänterwald,TreptowKöpenick,robbery,93
87,2012,90103,Baumschulenweg,TreptowKöpenick,robbery,116
88,2012,90104,Johannisthal,TreptowKöpenick,robbery,87
89,2012,90205,Oberschöneweide,TreptowKöpenick,robbery,83
90,2012,90206,Niederschöneweide,TreptowKöpenick,robbery,278
91,2012,90207,Adlershof,TreptowKöpenick,robbery,188
92,2012,90208,Köllnische Vorstadt/Spindlersfeld,TreptowKöpenick,robbery,91
93,2012,90309,Altglienicke,TreptowKöpenick,robbery,43
94,2012,90310,Bohnsdorf,TreptowKöpenick,robbery,17
95,2012,90311,Grünau,TreptowKöpenick,robbery,56
96,2012,90312,Schmöckwitz/Karolinenhof/Rauchfangswerder,TreptowKöpenick,robbery,0
97,2012,90413,KöpenickSüd,TreptowKöpenick,robbery,13
98,2012,90414,AllendeViertel,TreptowKöpenick,robbery,33
99,2012,90415,AltstadtKietz,TreptowKöpenick,robbery,58
100,2012,90416,Müggelheim,TreptowKöpenick,robbery,15
101,2012,90517,Friedrichshagen,TreptowKöpenick,robbery,51
102,2012,90518,Rahnsdorf/Hessenwinkel,TreptowKöpenick,robbery,22
103,2012,90519,Dammvorstadt,TreptowKöpenick,robbery,74
104,2012,90520,KöpenickNord,TreptowKöpenick,robbery,41
105,2012,100101,MarzahnNord,MarzahnHellersdorf,robbery,154
