year;hood_id;neighborhood;district;robbery;street_robbery;injury_assault;agg_assault;threat;theft;car_theft;theft_from_car;bike_theft;burglary;fire_without_intention;arson_with_intention;property_damage;property_damage_graffiti;drugs;criminal_hood
2012;010111;Tiergarten Süd;Mitte;556;365;4651;1540;937;17960;143;2603;952;540;127;32;2167;206;1357;8190
2012;010112;Regierungsviertel;Mitte;709;316;5171;1342;1549;34941;109;3349;1854;404;109;44;4145;1353;1069;9491
2012;010113;Alexanderplatz;Mitte;513;288;3265;962;644;19045;172;1678;1742;583;104;57;3259;1106;922;6586
2012;010114;Brunnenstraße Süd;Mitte;203;98;993;235;258;7494;336;751;1549;512;55;20;1674;477;833;2941
2012;010221;Moabit West;Mitte;310;122;1502;442;475;5897;224;979;776;384;100;53;1232;153;618;3349
2012;010222;Moabit Ost;Mitte;256;129;1576;422;586;6575;181;1013;968;258;95;29;1125;149;1194;3480
2012;010331;Osloer Straße;Mitte;342;131;2240;636;762;10460;148;1224;799;645;114;51;1487;205;702;4848
2012;010332;Brunnenstraße Nord;Mitte;411;201;1913;544;541;8297;215;1340;618;714;102;20;1403;204;459;4341
2012;010441;Parkviertel;Mitte;263;116;1889;509;767;6946;186;1361;881;379;133;48;1370;157;589;4329
2012;010442;Wedding Zentrum;Mitte;411;198;2303;811;731;6464;108;807;560;567;103;44;1534;166;1085;4865
2012;020101;Südliche Friedrichstadt;FriedrichshainKreuzberg;354;182;1856;570;675;7517;133;1284;824;562;118;33;1797;262;901;4580
2012;020202;Tempelhofer Vorstadt;FriedrichshainKreuzberg;295;144;1530;450;396;8487;148;977;1499;640;95;34;1502;318;652;3728
2012;020303;nördliche Luisenstadt;FriedrichshainKreuzberg;501;313;2256;685;564;10431;107;833;1392;515;139;45;2041;367;752;4991
2012;020304;südliche Luisenstadt;FriedrichshainKreuzberg;418;314;1513;529;387;7403;134;866;1330;575;103;42;1690;494;1621;3690
2012;020405;KarlMarxAlleeNord;FriedrichshainKreuzberg;261;153;1056;274;247;5580;319;925;831;252;67;22;1599;207;103;2808
2012;020407;KarlMarxAlleeSüd;FriedrichshainKreuzberg;375;248;2053;536;458;11878;201;1055;1303;257;96;31;2341;379;728;4533
2012;020506;Frankfurter Allee Nord;FriedrichshainKreuzberg;125;59;976;306;295;5625;202;431;1053;217;177;55;1966;309;184;3034
2012;020508;Frankfurter Allee Süd FK;FriedrichshainKreuzberg;303;173;1872;597;344;7767;134;630;1333;359;145;48;2535;589;554;4515
2012;030101;Buch;Pankow;123;46;1181;345;368;7938;245;1457;1526;161;138;46;1465;268;238;2477
2012;030202;Blankenfelde/Niederschönhausen;Pankow;47;16;537;107;213;3089;146;707;585;273;103;55;849;122;43;1331
2012;030203;Buchholz;Pankow;54;18;423;77;226;2717;125;411;334;226;60;6;679;42;95;1084
2012;030304;Karow;Pankow;16;5;235;32;171;2573;59;455;979;102;53;32;631;128;21;808
2012;030307;Blankenburg/Heinersdorf/Märchenland;Pankow;50;7;524;64;149;6357;99;1133;1055;389;85;28;1090;64;113;1140
2012;030405;Schönholz/Wilhelmsruh/Rosenthal;Pankow;134;58;461;140;152;3497;99;806;648;479;41;6;835;111;117;1337
2012;030406;Pankow Zentrum;Pankow;102;34;653;191;256;6438;185;678;1575;188;40;15;1177;311;108;2499
2012;030408;Pankow Süd;Pankow;66;28;641;110;210;3880;176;534;1219;157;31;22;936;245;75;1935
2012;030509;Weißensee;Pankow;103;46;935;237;301;4665;140;583;665;282;55;33;1475;461;164;2544
2012;030510;Weißensee Ost;Pankow;133;53;687;153;333;4066;133;700;493;153;27;7;1366;213;120;2226
2012;030611;Prenzlauer Berg Nordwest;Pankow;339;135;965;288;351;7265;402;745;1719;330;80;34;1435;478;360;3243
2012;030612;Prenzlauer Berg Nord;Pankow;116;39;616;128;232;7245;333;566;1577;260;19;0;1093;291;128;2255
2012;030613;Helmholtzplatz;Pankow;108;28;891;222;245;5730;193;349;1335;467;42;14;1231;472;137;2896
2012;030614;Prenzlauer Berg Ost;Pankow;247;115;988;296;325;8493;235;889;1190;251;78;37;1807;539;210;2939
2012;030715;Prenzlauer Berg Südwest;Pankow;74;50;1419;380;293;8318;215;920;1572;615;41;8;2211;792;140;4109
2012;030716;Prenzlauer Berg Süd;Pankow;52;19;539;97;263;4522;377;604;1058;412;49;13;1328;273;172;2181
2012;040101;CharlottenburgNord;CharlottenburgWilmersdorf;227;77;1537;404;713;5562;387;1681;332;547;50;11;1354;28;879;4091
2012;040202;Heerstrasse;CharlottenburgWilmersdorf;168;72;1704;744;288;4632;296;1240;464;408;56;16;1128;288;248;2824
2012;040203;Westend;CharlottenburgWilmersdorf;153;46;791;183;447;7540;218;1077;649;428;27;8;1211;138;145;2529
2012;040304;Schloß Charlottenburg;CharlottenburgWilmersdorf;177;52;1050;238;389;4925;134;575;1244;380;39;13;998;99;190;2661
2012;040305;Mierendorffplatz;CharlottenburgWilmersdorf;225;84;1160;323;429;6276;218;1483;1040;267;84;35;1054;127;780;2903
2012;040306;OttoSuhrAllee;CharlottenburgWilmersdorf;208;59;1652;444;502;8922;145;1146;1684;444;59;24;1711;373;440;3737
2012;040307;Neue Kantstraße;CharlottenburgWilmersdorf;188;100;715;170;375;5595;283;1108;1300;458;35;9;737;87;349;2442
2012;040308;Kantstraße;CharlottenburgWilmersdorf;318;112;1226;318;547;12534;117;919;1212;567;44;15;1143;108;577;3376
2012;040309;Kurfürstendamm;CharlottenburgWilmersdorf;927;405;7437;2479;1092;28430;371;2074;1353;646;48;7;2781;652;1222;11571
2012;040310;Halensee;CharlottenburgWilmersdorf;134;56;965;204;437;6685;296;1324;1099;542;56;21;1050;162;183;2768
2012;040411;Grunewald;CharlottenburgWilmersdorf;56;28;547;61;324;4844;179;1497;469;1084;22;0;715;78;28;2184
2012;040412;Schmargendorf;CharlottenburgWilmersdorf;36;7;594;130;297;5292;224;1622;557;623;22;7;753;87;72;1846
2012;040413;Wiesbadener Straße;CharlottenburgWilmersdorf;67;22;355;67;189;3562;166;693;716;300;6;6;793;116;50;1243
2012;040514;Düsseldorfer Straße;CharlottenburgWilmersdorf;140;61;822;228;399;6066;232;1234;1026;539;48;20;1282;385;184;2527
2012;040515;Barstraße;CharlottenburgWilmersdorf;141;74;815;245;319;5737;170;1186;1053;326;44;22;1119;215;104;2239
2012;040516;Volkspark Wilmersdorf;CharlottenburgWilmersdorf;198;71;779;207;340;5118;207;745;1168;352;31;12;936;204;195;2201
